"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"130","0.1","0.01","1","2","11.7","100","1e+06","400","20","8000","4e+04","0.2"
"131","0.2","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"132","0.3","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"133","0.1","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"134","0.2","0.01","1","2","7.6","100","1e+06","400","20","8000","4e+04","0.2"
"135","0.3","0.01","2","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"136","0.1","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"137","0.2","0.01","1","2","10.1","100","1e+06","400","20","8000","4e+04","0.2"
"138","0.3","0.01","1","2","10.8","100","1e+06","400","20","8000","4e+04","0.2"
"139","0.1","0.01","1","2","10.8","100","1e+06","400","20","8000","4e+04","0.2"
"140","0.2","0.01","1","2","7.5","100","1e+06","400","20","8000","4e+04","0.2"
"141","0.3","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"142","0.1","0.01","1","2","9.5","100","1e+06","400","20","8000","4e+04","0.2"
"143","0.2","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"144","0.3","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"145","0.1","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"146","0.2","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"147","0.3","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"148","0.1","0.01","1","2","7.5","100","1e+06","400","20","8000","4e+04","0.2"
"149","0.2","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"150","0.3","0.01","1","2","7.9","100","1e+06","400","20","8000","4e+04","0.2"
"151","0.1","0.01","1","2","9.2","100","1e+06","400","20","8000","4e+04","0.2"
"152","0.2","0.01","1","2","7.9","100","1e+06","400","20","8000","4e+04","0.2"
"153","0.3","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"154","0.1","0.01","1","2","7.5","100","1e+06","400","20","8000","4e+04","0.2"
"155","0.2","0.01","1","2","7","100","1e+06","400","20","8000","4e+04","0.2"
"156","0.3","0.01","1","2","9.2","100","1e+06","400","20","8000","4e+04","0.2"
"157","0.1","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"158","0.2","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"159","0.3","0.01","1","2","7.5","100","1e+06","400","20","8000","4e+04","0.2"
"160","0.1","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"161","0.2","0.01","1","2","10.4","100","1e+06","400","20","8000","4e+04","0.2"
"162","0.3","0.01","1","2","13","100","1e+06","400","20","8000","4e+04","0.2"
"163","0.1","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"164","0.2","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"165","0.3","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"166","0.1","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"167","0.2","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"168","0.3","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"169","0.1","0.01","1","2","7.3","100","1e+06","400","20","8000","4e+04","0.2"
"170","0.2","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"171","0.3","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"172","0.1","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"173","0.2","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"174","0.3","0.01","1","2","10.1","100","1e+06","400","20","8000","4e+04","0.2"
"175","0.1","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"176","0.2","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"177","0.3","0.01","1","2","9.3","100","1e+06","400","20","8000","4e+04","0.2"
"178","0.1","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
