"","log.scholarRefs.","NumberOfSubspecies","log.mass.","log.distrSize.","rand","log.scholarRefs..NumberOfSubspecies","AIC","boot","lambda","attempt","predictors","beta (Intercept)","beta log(scholarRefs)","beta NumberOfSubspecies","beta log(mass)","beta log(distrSize)","beta rand","beta log(scholarRefs):NumberOfSubspecies","dAIC","weight"
"74",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,883.714994258918,2,0.0788717949201337,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass)",-1.34822843836686,0.398342819997801,-0.778542287272094,0.335521432618832,NA,NA,0.139902860862221,1.38830808573277,0.148486359190037
"75",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,885.506407394033,2,0.108256484069502,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(distrSize)",-5.99362917888643,0.35318652331324,-0.780263718947991,NA,0.20974450892233,NA,0.138995974392246,3.17972122084814,0.0606298004716152
"76",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,887.272123611985,2,0.106637623793751,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + rand",-0.637246786849201,0.436868776646742,-0.796663751066246,NA,NA,0.307430908612303,0.141091478457109,4.94543743880024,0.0250764314807272
"77",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,2,0.0671107702923551,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-8.7182590470902,0.28539445379332,-0.769533851545732,0.399380460994328,0.273445306218036,NA,0.138758678206531,0,0.297271879598057
"78",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,885.548887195676,2,0.0830201228520148,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + rand",-1.53082019353626,0.404432395420114,-0.789265305242243,0.336278798750582,NA,0.301718616831895,0.141006427864938,3.22220102249048,0.0593556092722968
"79",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,887.292458063328,2,0.111713528122314,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(distrSize) + rand",-6.24010312638711,0.358493677030151,-0.792545282620692,NA,0.211778402654965,0.324752395442655,0.140281142843288,4.96577189014261,0.0248227654678039
"80",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,2,0.0671107702923551,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-8.7182590470902,0.28539445379332,-0.769533851545732,0.399380460994328,0.273445306218036,NA,0.138758678206531,0,0.297271879598057
"81",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,943.715459427767,3,0.0380900560722205,1,"1",2.61998566526548,NA,NA,NA,NA,NA,NA,61.3887732545819,1.36669734716911e-14
"82",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,899.196981256046,3,0.131214805862416,1,"log(scholarRefs)",-3.5179838009237,0.99741067342471,NA,NA,NA,NA,NA,16.8702950828612,6.34946389179979e-05
"83",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,923.368250392827,3,0.0602938618125976,1,"NumberOfSubspecies",1.58032939909009,NA,0.3109119722634,NA,NA,NA,NA,41.0415642196418,3.58106871437646e-10
