"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","dAIC","weight"
"52",TRUE,FALSE,TRUE,TRUE,FALSE,85.6764751770408,2,-5.12141415020007,1,"log(scholarRefs) + log(mass) + log(distrSize)",8.80060271411389,0.0121246059444461
"53",TRUE,FALSE,TRUE,FALSE,TRUE,99.0013564088026,2,-4.22643405779888,1,"log(scholarRefs) + log(mass) + rand",22.1254839458757,1.54955300733353e-05
"54",TRUE,FALSE,FALSE,TRUE,TRUE,139.349841093909,2,0.284598080754126,1,"log(scholarRefs) + log(distrSize) + rand",62.4739686309825,2.68314603946319e-14
"55",FALSE,TRUE,TRUE,TRUE,FALSE,115.739742810343,2,-4.13967574993174,1,"log(Nm) + log(mass) + log(distrSize)",38.8638703474164,3.59345335758898e-09
"56",FALSE,TRUE,TRUE,FALSE,TRUE,130.839582159213,2,-2.34344847068596,1,"log(Nm) + log(mass) + rand",53.9637096962858,1.89070406852046e-12
"57",FALSE,TRUE,FALSE,TRUE,TRUE,143.939736306391,2,0.180457412659163,1,"log(Nm) + log(distrSize) + rand",67.0638638434637,2.70371698697287e-15
"58",FALSE,FALSE,TRUE,TRUE,TRUE,120.040767960537,2,-3.71513507387691,1,"log(mass) + log(distrSize) + rand",43.1648954976098,4.18365888952398e-10
"59",TRUE,TRUE,TRUE,TRUE,FALSE,141.05898866598,2,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",64.1831162030531,1.14158336490031e-14
"60",TRUE,TRUE,TRUE,FALSE,TRUE,141.50445275939,2,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + rand",64.6285802964634,9.13642582708371e-15
"61",TRUE,TRUE,FALSE,TRUE,TRUE,142.445072421754,2,0.284397031374757,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",65.5691999588275,5.70851791504668e-15
"62",TRUE,FALSE,TRUE,TRUE,TRUE,142.124430819834,2,0.135700011862941,3,"log(scholarRefs) + log(mass) + log(distrSize) + rand",65.2485583569072,6.70115722344819e-15
"63",FALSE,TRUE,TRUE,TRUE,TRUE,143.267011158441,2,NA,5,"log(Nm) + log(mass) + log(distrSize) + rand",66.3911386955138,3.78478870905802e-15
"64",TRUE,TRUE,TRUE,TRUE,TRUE,145.542774504509,2,0.128441276266899,4,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",68.666902041582,1.21301426387322e-15
"65",FALSE,FALSE,FALSE,FALSE,FALSE,118.431463660977,3,-0.221352153220703,2,"1",49.0479398983668,2.18311543996984e-11
"66",TRUE,FALSE,FALSE,FALSE,FALSE,136.044595357054,3,0.150804971873433,1,"log(scholarRefs)",66.6610715944441,3.26914172634098e-15
"67",FALSE,TRUE,FALSE,FALSE,FALSE,125.77812921828,3,-0.221352153206642,1,"log(Nm)",56.3946054556695,5.54330207074964e-13
"68",FALSE,FALSE,TRUE,FALSE,FALSE,136.969888150223,3,-0.962525436160505,1,"log(mass)",67.5863643876133,2.05830141092777e-15
"69",FALSE,FALSE,FALSE,TRUE,FALSE,142.124128998979,3,0.0812862580547989,1,"log(distrSize)",72.7406052363692,1.56415501784528e-16
"70",FALSE,FALSE,FALSE,FALSE,TRUE,144.883053668157,3,-0.938897911844197,1,"rand",75.4995299055473,3.93719488602484e-17
"71",TRUE,TRUE,FALSE,FALSE,FALSE,138.587892573984,3,0.137566157415679,1,"log(scholarRefs) + log(Nm)",69.2043688113735,9.16566067996841e-16
"72",TRUE,FALSE,TRUE,FALSE,FALSE,102.607616488755,3,-3.38553024980044,1,"log(scholarRefs) + log(mass)",33.2240927261449,5.95911073638534e-08
"73",TRUE,FALSE,FALSE,TRUE,FALSE,137.856107782131,3,0.224305643016117,1,"log(scholarRefs) + log(distrSize)",68.4725840195214,1.32150504001033e-15
"74",TRUE,FALSE,FALSE,FALSE,TRUE,138.11929609398,3,0.165750741809252,1,"log(scholarRefs) + rand",68.7357723313696,1.15855914072902e-15
"75",FALSE,TRUE,TRUE,FALSE,FALSE,148.647399615083,3,NA,5,"log(Nm) + log(mass)",79.2638758524726,5.99472928952385e-18
"76",FALSE,TRUE,FALSE,TRUE,FALSE,143.410194257492,3,0.0763829747693659,1,"log(Nm) + log(distrSize)",74.0266704948816,8.22269666923819e-17
"77",FALSE,TRUE,FALSE,FALSE,TRUE,146.710155045229,3,-0.903314502774332,1,"log(Nm) + rand",77.3266312826186,1.57919910562516e-17
"78",FALSE,FALSE,TRUE,TRUE,FALSE,119.051741559007,3,-3.7713455597814,1,"log(mass) + log(distrSize)",49.6682177963968,1.60097690491258e-11
"79",FALSE,FALSE,TRUE,FALSE,TRUE,139.250682851976,3,-0.92429967978853,1,"log(mass) + rand",69.8671590893663,6.58022426104569e-16
