"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Lasiurus egregius","Lasiurus egregius",1,1,"Lasiurus","Vespertilionidae","Vespertilionidae",14.2,1322635975409.08,0,92,"1"
"Lasiurus intermedius","Lasiurus intermedius",1,2,"Lasiurus","Vespertilionidae","Vespertilionidae",22.96,1748790816187.34,0,471,"2"
"Lasiurus seminolus","Lasiurus seminolus",1,1,"Lasiurus","Vespertilionidae","Vespertilionidae",9.88,1193515159834.81,0,384,"1"
"Lasiurus xanthinus","Lasiurus xanthinus",1,1,"Lasiurus","Vespertilionidae","Vespertilionidae",7.18,1737395754127.73,0,177,"1"
"Leptonycteris curasoae","Leptonycteris curasoae",1,1,"Leptonycteris","Phyllostomidae","Phyllostomidae",25.27,840356495121.99,19,1280,"1"
"Leptonycteris nivalis","Leptonycteris nivalis",1,1,"Leptonycteris","Phyllostomidae","Phyllostomidae",24.26,949993754579.375,5,678,"1"
"Lonchophylla robusta","Lonchophylla robusta",1,1,"Lonchophylla","Phyllostomidae","Phyllostomidae",13.72,1116127352886.28,0,248,"1"
"Lonchophylla thomasi","Lonchophylla thomasi",1,1,"Lonchophylla","Phyllostomidae","Phyllostomidae",7.09,8383354135935.84,0,282,"1"
"Lonchorhina aurita","Lonchorhina aurita",1,2,"Lonchorhina","Phyllostomidae","Phyllostomidae",15.38,11577000192694.4,3,509,"2"
"Lophostoma brasiliense","Lophostoma brasiliense",1,1,"Lophostoma","Phyllostomidae","Phyllostomidae",9.76,8095483249564.11,0,226,"1"
"Lophostoma silvicolum","Lophostoma silvicolum",2,4,"Lophostoma","Phyllostomidae","Phyllostomidae",32.29,12138516186554.6,2,398,"4"
"Macroglossus minimus","Macroglossus minimus",1,4,"Macroglossus","Pteropodidae","Pteropodidae",16.3,3590246002461.15,5,551,"4"
"Macrotus californicus","Macrotus californicus",1,1,"Macrotus","Phyllostomidae","Phyllostomidae",11.83,643197453835.336,15,808,"1"
"Megaderma lyra","Megaderma lyra",2,2,"Megaderma","Megadermatidae","Other",39.27,6042090922908.93,32,1370,"2"
"Micronycteris megalotis","Micronycteris megalotis",1,1,"Micronycteris","Phyllostomidae","Phyllostomidae",6.4,12094005793514.2,0,806,"1"
"Micropteropus pusillus","Micropteropus pusillus",3,1,"Micropteropus","Pteropodidae","Pteropodidae",25.38,5380916583092.75,4,313,"1"
"Mimon crenulatum","Mimon crenulatum",1,4,"Mimon","Phyllostomidae","Phyllostomidae",13.91,11136330836455.3,3,596,"4"
"Miniopterus inflatus","Miniopterus inflatus",1,2,"Miniopterus","Vespertilionidae","Vespertilionidae",14.9,2349942424643.39,4,164,"2"
"Miniopterus magnater","Miniopterus magnater",2,2,"Miniopterus","Vespertilionidae","Vespertilionidae",14.14,3160921999261.87,5,133,"2"
"Miniopterus pusillus","Miniopterus pusillus",3,1,"Miniopterus","Vespertilionidae","Vespertilionidae",8.95,1106938222141.49,4,122,"1"
"Miniopterus schreibersii","Miniopterus schreibersii",12,16,"Miniopterus","Vespertilionidae","Vespertilionidae",11.46,3707970897440.43,64,3090,"16"
"Miniopterus tristis","Miniopterus tristis",1,5,"Miniopterus","Vespertilionidae","Vespertilionidae",15.17,733055150632.217,0,48,"5"
"Molossops neglectus","Molossops neglectus",1,1,"Molossops","Molossidae","Molossidae",11,6515607602571.13,0,166,"1"
"Molossus molossus","Molossus molossus",7,7,"Molossus","Molossidae","Molossidae",13.7,15767723285565.3,68,2220,"7"
"Molossus rufus","Molossus rufus",9,1,"Molossus","Molossidae","Molossidae",120,14800275008221.2,11,629,"1"
"Mops condylurus","Mops condylurus",3,4,"Mops","Molossidae","Molossidae",26.59,9123924491885.86,5,310,"4"
