,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
67,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Carollia,subrufa,Carollia subrufa,TRUE,2,,Carollia subrufa
68,Bunyaviridae,unassigned,Issyk-kul,Tadarida,plicata,Chaerephon plicatus,FALSE,1,,Chaerephon plicatus
69,Bunyaviridae,Orthobunyavirus,Kaeng Khoi virus,Tadarida,plicata,Chaerephon plicatus,TRUE,,,Chaerephon plicatus
70,Flaviviridae,Flavivirus,Bukalasa bat virus,Tadarida,pumila,Chaerephon pumilus,TRUE,,,Chaerephon pumilus
71,Togaviridae,Alphavirus,Chikungunya virus,Tadarida,pumila,Chaerephon pumilus,TRUE,,,Chaerephon pumilus
72,Flaviviridae,Flavivirus,Dakar bat virus,Tadarida,pumila,Chaerephon pumilus,TRUE,,,Chaerephon pumilus
73,Flaviviridae,Flavivirus,Entebbe bat virus,Tadarida,pumila,Chaerephon pumilus,TRUE,4,,Chaerephon pumilus
74,Rhabdoviridae,Lyssavirus,Rabies virus,Chrotopterus,auritus,Chrotopterus auritus,TRUE,1,,Chrotopterus auritus
75,Rhabdoviridae,Lyssavirus,Rabies virus,Corynorhinus,townsendii,Corynorhinus townsendii,TRUE,1,,Corynorhinus townsendii
76,Rhabdoviridae,Lyssavirus,Rabies virus,Cynomops,abrasus,Cynomops abrasus,TRUE,1,,Cynomops abrasus
77,Rhabdoviridae,Lyssavirus,Rabies virus,Cynomops,planirostris,Cynomops planirostris,TRUE,1,,Cynomops planirostris
78,Flaviviridae,Flavivirus,Carey Island virus,Cynopterus,brachyotis,Cynopterus brachyotis,TRUE,,,Cynopterus brachyotis
79,Bunyaviridae,unassigned,Issyk-kul,Cynopterus,brachyotis,Cynopterus brachyotis,FALSE,,,Cynopterus brachyotis
80,Flaviviridae,Flavivirus,Jugra virus,Cynopterus,brachyotis,Cynopterus brachyotis,TRUE,,,Cynopterus brachyotis
81,Paramyxoviridae,Henipavirus,Nipah virus,Cynopterus,brachyotis,Cynopterus brachyotis,TRUE,,,Cynopterus brachyotis
82,Flaviviridae,Flavivirus,Phnom-Penh bat virus,Cynopterus,brachyotis,Cynopterus brachyotis,FALSE,5,,Cynopterus brachyotis
83,Orthomyxiviridae,Influenzavirus A,Influenzavirus A virus,Cynopterus,sphinx,Cynopterus sphinx,FALSE,,,Cynopterus sphinx
84,Flaviviridae,Flavivirus,Japanese encephalitis virus,Cynopterus,sphinx,Cynopterus sphinx,TRUE,,,Cynopterus sphinx
85,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Cynopterus,sphinx,Cynopterus sphinx,TRUE,3,,Cynopterus sphinx
86,Flaviviridae,Flavivirus,Dengue virus,Desmodus,rotundus,Desmodus rotundus,TRUE,,,Desmodus rotundus
87,Flaviviridae,Flavivirus,Ilheus virus,Desmodus,rotundus,Desmodus rotundus,TRUE,,,Desmodus rotundus
88,Rhabdoviridae,Lyssavirus,Rabies virus,Desmodus,rotundus,Desmodus rotundus,TRUE,,,Desmodus rotundus
89,Arenaviridae,Arenavirus,Tacaribe virus,Desmodus,rotundus,Desmodus rotundus,FALSE,,,Desmodus rotundus
