"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","beta (Intercept)","beta log(scholarRefs)","beta log(Nm)","beta log(mass)","beta log(distrSize)","beta rand","dAIC","weight"
"103",TRUE,TRUE,FALSE,FALSE,FALSE,128.805537435789,4,0.0379208558878727,1,"log(scholarRefs) + log(Nm)",-7.93354112106272,1.67180921221808,0.264442694651069,NA,NA,NA,58.8763045861236,7.34175519194786e-14
"104",TRUE,FALSE,TRUE,FALSE,FALSE,70.8682175741771,4,-7.73784844517918,1,"log(scholarRefs) + log(mass)",-7.12550686271398,1.71876392562251,NA,-0.500248053308427,NA,NA,0.938984724511712,0.279723565346226
"105",TRUE,FALSE,FALSE,TRUE,FALSE,128.107409038409,4,0.229633632727277,1,"log(scholarRefs) + log(distrSize)",-19.8614415645751,1.53293314601357,NA,NA,0.463916724204128,NA,58.1781761887441,1.04087015071037e-13
"106",TRUE,FALSE,FALSE,FALSE,TRUE,128.36165763184,4,0.181621776879877,1,"log(scholarRefs) + rand",-10.5097506857334,1.91493659443248,NA,NA,NA,1.91494532656904,58.4324247821742,9.16615451161343e-14
"107",FALSE,TRUE,TRUE,FALSE,FALSE,108.145542736284,4,-4.00646439720286,1,"log(Nm) + log(mass)",6.45274268387384,NA,0.0675475014553092,-0.631729658459482,NA,NA,38.2163098866189,2.24936920998008e-09
"108",FALSE,TRUE,FALSE,TRUE,FALSE,101.011247659823,4,-0.175794896345958,1,"log(Nm) + log(distrSize)",-11.4828339663351,NA,0.82921919399992,NA,0.513606919754102,NA,31.0820148101581,7.96623728094104e-08
"109",FALSE,TRUE,FALSE,FALSE,TRUE,97.0711256970378,4,-4.87649214803735,1,"log(Nm) + rand",-1.06132718140458,NA,0.122818426249424,NA,NA,8.37471969244984,27.1418928473725,5.71267939362771e-07
"110",FALSE,FALSE,TRUE,TRUE,FALSE,76.6608192878104,4,-6.79785977468356,2,"log(mass) + log(distrSize)",-40.8450276965271,NA,NA,-0.906320740116875,1.65298045515651,NA,6.731586438145,0.0154483313158369
"111",FALSE,FALSE,TRUE,FALSE,TRUE,96.657085951196,4,-4.68368745446106,1,"log(mass) + rand",-2.87361872639678,NA,NA,0.332721636618538,NA,9.44749790593596,26.7278531015307,7.02663573072164e-07
"112",FALSE,FALSE,FALSE,TRUE,TRUE,133.049063297494,4,0.0173955832502134,1,"log(distrSize) + rand",-29.923213448556,NA,NA,NA,1.1599132574356,2.14256742085582,63.1198304478288,8.79690630259106e-15
"113",TRUE,TRUE,TRUE,FALSE,FALSE,69.9292328496654,4,-7.67188339930026,2,"log(scholarRefs) + log(Nm) + log(mass)",-10.2215019556527,1.90650205528646,-0.220103475411954,-0.0104151980290196,NA,NA,0,0.447328941558025
"114",TRUE,TRUE,FALSE,TRUE,FALSE,130.038507280016,4,0.122085415652444,1,"log(scholarRefs) + log(Nm) + log(distrSize)",-21.1728617868245,1.15475764663754,0.391971070150442,NA,0.594462054416469,NA,60.1092744303504,3.96336344233823e-14
"115",TRUE,TRUE,FALSE,FALSE,TRUE,131.180163302395,4,0.130673566791999,1,"log(scholarRefs) + log(Nm) + rand",-9.7679446704363,1.81747940368383,0.12851012337899,NA,NA,1.65071522444471,61.2509304527297,2.23952772751119e-14
