"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"147",0.4,1e-03,2,81.3666666666667,14.9333333333333,10,2,9,100,8e+05
"148",0.6,1e-03,2,53.4666666666667,27.4,10,2,9,100,8e+05
"149",0.1,1e-03,1,136.366666666667,0,10,2,9,100,8e+05
"150",0.2,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"151",0.4,1e-03,2,96.2,11.3,10,2,9,100,8e+05
"152",0.6,1e-03,2,99.6333333333333,11.8666666666667,10,2,9,100,8e+05
"153",0.1,1e-03,1,141.333333333333,0,10,2,9,100,8e+05
"154",0.2,1e-03,1,136.8,0,10,2,9,100,8e+05
"155",0.4,1e-03,2,122.766666666667,4.03333333333333,10,2,9,100,8e+05
"156",0.6,1e-03,2,139.233333333333,2.7,10,2,9,100,8e+05
"157",0.1,1e-03,1,141.2,0,10,2,9,100,8e+05
"158",0.2,1e-03,1,137.2,0,10,2,9,100,8e+05
"159",0.4,1e-03,2,89.3666666666667,14.9666666666667,10,2,9,100,8e+05
"160",0.6,1e-03,2,90.0333333333333,12.0666666666667,10,2,9,100,8e+05
"161",0.1,1e-03,1,146.766666666667,0,10,2,9,100,8e+05
"162",0.2,1e-03,1,138.066666666667,0,10,2,9,100,8e+05
"163",0.4,1e-03,2,117.9,6.46666666666667,10,2,9,100,8e+05
"164",0.6,1e-03,2,129.7,2.8,10,2,9,100,8e+05
"165",0.1,1e-03,1,138.966666666667,0,10,2,9,100,8e+05
"166",0.2,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"167",0.4,1e-03,2,98.7333333333333,11.2,10,2,9,100,8e+05
"168",0.6,1e-03,2,59.8666666666667,20.8333333333333,10,2,9,100,8e+05
"169",0.1,1e-03,1,146.066666666667,0,10,2,9,100,8e+05
"170",0.2,1e-03,2,137.966666666667,2.13333333333333,10,2,9,100,8e+05
"171",0.4,1e-03,2,98.4,12.2,10,2,9,100,8e+05
