"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
5,0.01,146.272727272727,0,1,10,100,9,2,5e+05,"150405_0116.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0117.RData"
2,0.01,146.818181818182,0,1,10,100,9,2,5e+05,"150405_0118.RData"
5,0.01,139.654545454545,0,1,10,40,2,2,5e+05,"150405_0119.RData"
10,0.01,146.072727272727,0,1,10,100,9,2,5e+05,"150405_0120.RData"
2,0.01,147.9,0,1,10,40,2,2,5e+05,"150405_0121.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0122.RData"
10,0.01,3.83636363636364,36.4454545454545,2,10,40,2,2,5e+05,"150405_0123.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0124.RData"
5,0.01,139.845454545455,0,1,10,40,2,2,5e+05,"150405_0125.RData"
10,0.01,3.45454545454545,36.4090909090909,2,10,100,9,2,5e+05,"150405_0126.RData"
2,0.01,16.5636363636364,31.7090909090909,2,10,40,2,2,5e+05,"150405_0127.RData"
5,0.01,7.24545454545455,35.3454545454545,2,10,100,9,2,5e+05,"150405_0128.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0129.RData"
2,0.01,142.790909090909,0,1,10,100,9,2,5e+05,"150405_0130.RData"
5,0.01,148.663636363636,0,1,10,40,2,2,5e+05,"150405_0131.RData"
10,0.01,143.272727272727,0,1,10,100,9,2,5e+05,"150405_0132.RData"
2,0.01,147.354545454545,0,1,10,40,2,2,5e+05,"150405_0133.RData"
5,0.01,144.281818181818,0,1,10,100,9,2,5e+05,"150405_0134.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0135.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0136.RData"
5,0.01,7.51818181818182,35.1727272727273,2,10,40,2,2,5e+05,"150405_0137.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0138.RData"
2,0.01,144.609090909091,0,1,10,40,2,2,5e+05,"150405_0139.RData"
5,0.01,138.290909090909,0,1,10,100,9,2,5e+05,"150405_0140.RData"
