"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"82",0.2,0,1,44.6666666666667,0,2,2,1,120,8e+05,86,NA,1636.55608220403,NA
"83",0.3,0,1,79.5,0,2,2,1,120,8e+05,149,NA,1401.19140762198,NA
"84",0.4,0,1,58.1666666666667,0,2,2,1,120,8e+05,0,744.743343114435,1645.9648696393,112.897304946445
"85",0.1,0,1,88.8333333333333,0,2,2,1,120,8e+05,163,NA,1137.20214335019,NA
"86",0.2,0,2,57.6666666666667,5.33333333333333,2,2,1,120,8e+05,2,NA,1140.82153676585,NA
"87",0.3,0,1,34.1666666666667,0,2,2,1,120,8e+05,74,NA,2279.19914518987,NA
"88",0.4,0,2,24.5,14.1666666666667,2,2,1,120,8e+05,59,NA,1091.98838269546,NA
"89",0.1,0,1,85.3333333333333,0,2,2,1,120,8e+05,169,NA,1162.08018899996,NA
"90",0.2,0,1,68.8333333333333,0,2,2,1,120,8e+05,134,NA,1366.44995022005,NA
"91",0.3,0,2,31,12,2,2,1,120,8e+05,51,NA,1194.04369631696,NA
"92",0.4,0,2,28.3333333333333,15.5,2,2,1,120,8e+05,78,NA,1006.10817543278,NA
"93",0.1,0,1,99.6666666666667,0,2,2,1,120,8e+05,192,NA,1192.00412775952,NA
"94",0.2,0,1,54.3333333333333,0,2,2,1,120,8e+05,115,NA,1386.2395093739,NA
"95",0.3,0,1,72.1666666666667,0,2,2,1,120,8e+05,155,NA,1382.22334605497,NA
"96",0.4,0,1,49.3333333333333,0,2,2,1,120,8e+05,0,1410.33769767555,1420.59463460608,844.467087830546
"97",0.1,0,1,71.3333333333333,0,2,2,1,120,8e+05,160,NA,1228.83273256349,NA
"98",0.2,0,1,78.6666666666667,0,2,2,1,120,8e+05,145,NA,1305.69647365792,NA
"99",0.3,0,1,59,0,2,2,1,120,8e+05,120,NA,1353.73950099792,NA
