"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","extinctionTime","totalTime","survivalTime","pathInv"
"116",0.3,0.1,2,57.3666666666667,20.8,10,2,9,100,8e+05,NA,74.3895978690557,NA,263
"117",0.2,0.1,1,143.8,0,10,2,9,100,8e+05,36.1373773889283,85.0045355449523,8.16281777178768,68
"118",0.3,0.1,2,64.7666666666667,16.2333333333333,10,2,9,100,8e+05,NA,81.7592314327538,NA,226
"119",0.2,0.1,2,76.6,14.4666666666667,10,2,9,100,8e+05,NA,79.184020594829,NA,202
"120",0.3,0.1,2,60.2,18.9666666666667,10,2,9,100,8e+05,NA,75.6931410642123,NA,255
"121",0.2,0.1,2,83.6,16.8,10,2,9,100,8e+05,NA,76.5270531487519,NA,234
"122",0.3,0.1,2,58.5666666666667,22.6,10,2,9,100,8e+05,NA,76.8876784847098,NA,283
"123",0.2,0.1,1,142.833333333333,0,10,2,9,100,8e+05,42.2514541106148,76.7406364222424,16.8246281100794,66
"124",0.3,0.1,2,61.5333333333333,20.2,10,2,9,100,8e+05,NA,76.2648758039863,NA,239
"125",0.2,0.1,1,149.666666666667,0,10,2,9,100,8e+05,31.0610388041997,80.068541742617,4.3702517692634,55
"126",0.3,0.1,1,141.533333333333,0,10,2,9,100,8e+05,29.7080402116338,83.2258789117549,2.19777767934618,29
"127",0.2,0.1,1,149.866666666667,0,10,2,9,100,8e+05,31.4226011418564,87.9310782268738,2.49294735190717,50
"128",0.3,0.1,2,58.6333333333333,21.7666666666667,10,2,9,100,8e+05,NA,78.7103375991723,NA,263
"129",0.2,0.1,1,136.466666666667,0,10,2,9,100,8e+05,30.8651005121511,88.1877465447031,1.99993408108775,64
"130",0.3,0.1,2,63.3666666666667,19.2333333333333,10,2,9,100,8e+05,NA,74.9126809646589,NA,236
"131",0.2,0.1,2,71.8,16.9,10,2,9,100,8e+05,NA,81.1156214614615,NA,234
"132",0.3,0.1,2,62.1333333333333,19.6666666666667,10,2,9,100,8e+05,NA,80.1604703323132,NA,256
"133",0.2,0.1,1,139.766666666667,0,10,2,9,100,8e+05,35.9310483085543,81.3253126614868,9.38506788446978,54
"134",0.3,0.1,2,64.0666666666667,20.4,10,2,9,100,8e+05,NA,82.8171051975689,NA,231
"135",0.2,0.1,2,86.8333333333333,14.1333333333333,10,2,9,100,8e+05,NA,80.2443850833275,NA,190
"136",0.3,0.1,2,59.4,20.6333333333333,10,2,9,100,8e+05,NA,76.3963793365836,NA,258
"137",0.2,0.1,2,76.1333333333333,18,10,2,9,100,8e+05,NA,81.421176474712,NA,247
"138",0.3,0.1,2,62.5,17.7333333333333,10,2,9,100,8e+05,NA,82.6527960053272,NA,201
"139",0.2,0.1,2,81.5666666666667,14.4,10,2,9,100,8e+05,NA,77.953614138183,NA,216
"140",0.3,0.1,2,60.1333333333333,21.1,10,2,9,100,8e+05,NA,78.8810793590212,NA,270
"141",0.2,0.1,1,145.733333333333,0,10,2,9,100,8e+05,30.4879554733174,83.6885686838939,2.58629209455465,48
"142",0.3,0.1,2,61.9333333333333,20.6,10,2,9,100,8e+05,NA,79.6224335801149,NA,257
"143",0.2,0.1,2,86.2,16.8666666666667,10,2,9,100,8e+05,NA,80.3205431465788,NA,227
"144",0.3,0.1,1,144.366666666667,0,10,2,9,100,8e+05,28.4095955161307,81.5705058975214,1.6342545358644,32
"145",0.2,0.1,1,138.333333333333,0,10,2,9,100,8e+05,32.6459145750015,81.9612382687113,5.46123845305524,45
"146",0.3,0.1,2,63.3333333333333,20.0333333333333,10,2,9,100,8e+05,NA,78.9558386552658,NA,250
"147",0.2,0.1,2,74.1,14.4,10,2,9,100,8e+05,NA,84.9462120126176,NA,211
"148",0.3,0.1,1,145.133333333333,0,10,2,9,100,8e+05,29.6855409084112,82.9296492901398,2.23731228055791,27
"149",0.2,0.1,2,109.333333333333,11.8,10,2,9,100,8e+05,NA,78.8520438958916,NA,180
"150",0.3,0.1,2,59.2,18.0666666666667,10,2,9,100,8e+05,NA,78.9563525973109,NA,249
