"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"336",0.6,0.01,2,37.6666666666667,32.2333333333333,10,2,2,40,8e+05
"337",0.1,0.01,1,144.566666666667,0,10,2,2,40,8e+05
"338",0.2,0.01,2,136.566666666667,2.76666666666667,10,2,2,40,8e+05
"339",0.4,0.01,2,52,22.8333333333333,10,2,2,40,8e+05
"340",0.6,0.01,2,39.6333333333333,23.3666666666667,10,2,2,40,8e+05
"341",0.1,0.01,1,139.133333333333,0,10,2,2,40,8e+05
"342",0.2,0.01,1,142.766666666667,0,10,2,2,40,8e+05
"343",0.4,0.01,2,52.3666666666667,23.2333333333333,10,2,2,40,8e+05
"344",0.6,0.01,2,39.7,26.8,10,2,2,40,8e+05
"345",0.1,0.01,1,154.833333333333,0,10,2,2,40,8e+05
"346",0.2,0.01,1,139.5,0,10,2,2,40,8e+05
"347",0.4,0.01,2,50.9333333333333,25.1,10,2,2,40,8e+05
"348",0.6,0.01,2,40.8333333333333,22.9,10,2,2,40,8e+05
"349",0.1,0.01,1,142.933333333333,0,10,2,2,40,8e+05
"350",0.2,0.01,1,142.266666666667,0,10,2,2,40,8e+05
"351",0.4,0.01,2,51.7333333333333,24.2333333333333,10,2,2,40,8e+05
"352",0.6,0.01,2,39.5666666666667,29.5333333333333,10,2,2,40,8e+05
"353",0.1,0.01,1,132.7,0,10,2,2,40,8e+05
"354",0.2,0.01,1,139.433333333333,0,10,2,2,40,8e+05
"355",0.4,0.01,2,56.1,22.9,10,2,2,40,8e+05
"356",0.6,0.01,2,40.2333333333333,25.8,10,2,2,40,8e+05
"357",0.1,0.01,1,146.8,0,10,2,2,40,8e+05
"358",0.2,0.01,2,130.333333333333,3.16666666666667,10,2,2,40,8e+05
"359",0.4,0.01,2,49.5666666666667,21.2333333333333,10,2,2,40,8e+05
"360",0.6,0.01,2,42.4333333333333,26.1333333333333,10,2,2,40,8e+05
"361",0.1,0.01,1,153.133333333333,0,10,2,2,40,8e+05
"362",0.2,0.01,1,148.4,0,10,2,2,40,8e+05
"363",0.4,0.01,2,48.9333333333333,24.9666666666667,10,2,2,40,8e+05
"364",0.6,0.01,2,41.2666666666667,26.1,10,2,2,40,8e+05
"365",0.1,0.01,1,149.133333333333,0,10,2,2,40,8e+05
"366",0.2,0.01,1,137.2,0,10,2,2,40,8e+05
"367",0.4,0.01,2,52.7666666666667,24.9333333333333,10,2,2,40,8e+05
"368",0.6,0.01,2,42.8666666666667,25,10,2,2,40,8e+05
"369",0.1,0.01,1,146.033333333333,0,10,2,2,40,8e+05
"370",0.2,0.01,1,150.533333333333,0,10,2,2,40,8e+05
"371",0.4,0.01,2,49.6666666666667,20.3333333333333,10,2,2,40,8e+05
"372",0.6,0.01,2,39.3,26.9666666666667,10,2,2,40,8e+05
"373",0.1,0.01,1,135.266666666667,0,10,2,2,40,8e+05
"374",0.2,0.01,1,139.166666666667,0,10,2,2,40,8e+05
"375",0.4,0.01,2,54.8333333333333,26.1666666666667,10,2,2,40,8e+05
"376",0.6,0.01,2,39.7,25.7333333333333,10,2,2,40,8e+05
"377",0.1,0.01,1,137.6,0,10,2,2,40,8e+05
"378",0.2,0.01,1,136.333333333333,0,10,2,2,40,8e+05
"379",0.4,0.01,2,51.7,22.6,10,2,2,40,8e+05
"380",0.6,0.01,2,40.2333333333333,27.7666666666667,10,2,2,40,8e+05
"381",0.1,0.01,1,136.366666666667,0,10,2,2,40,8e+05
"382",0.2,0.01,1,147.1,0,10,2,2,40,8e+05
