namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
iter23,0.3507311784,0.4919504019,0.0540834256,-0.9813799612,-1.6783798578,-1.4772392713,-0.4294277836,6.9958548498,-1.618491188,-0.2447982913,0.5769245315,0.6875932067,0.7451891758,-0.3485875742,-0.8932329641,-1.1334205809,-0.6789348906,0.4500522139,0.4006350153,-0.1691673057,0.1922401256,0.0500273809,-0.212089368,0.0390325905,-0.2947611478
iter24,0.0772311408,-0.051314587,-0.0090900076,1.2500255608,1.4084135264,4.9561499554,5.5543806428,-0.3085397923,1.1766983963,-0.7624309169,0.2321341397,0.2997853096,0.5169268925,1.3563803893,1.197719483,1.4626383973,3.6460090307,1.0525447711,1.2040781527,2.9642549384,0.0694116144,0.0243787889,0.1646860039,-0.1243714748,0.466485904
iter25,1.4804052467,1.7716412648,2.1767107795,2.5923554452,2.3406665618,4.5150032656,6.2125995697,12.1359844127,5.3007486027,8.0373237186,1.8620523557,1.8114446637,2.0576973047,2.7441450107,2.7741443646,5.3900096719,7.0550824745,1.3018520362,1.6727533161,4.4996318379,0.9752718842,0.824614857,0.8606738435,0.7845636384,2.2789788844
iter26,-0.1368123668,-0.0030243658,-0.1354368739,-0.6850214153,-0.0417578622,-0.3376103225,1.4255528286,0.9088593147,0.1456858447,-0.0969032554,1.1646354267,1.0991444445,0.9408425614,1.2076913227,0.201506537,0.1313261008,1.3563328371,0.6024066537,0.1848956544,-1.1091939789,0.7807934082,0.6553341503,0.4943644542,0.6415850812,-0.6753846737
iter27,-0.3627471805,-0.6911600185,-1.1083077444,-1.3649027853,-0.6011096835,2.4195564889,3.1608572722,2.9378578264,2.3910020682,-0.9842734708,0.8120088896,0.7509087817,0.9082336638,-1.0028194672,-0.9151277541,1.6290524343,-0.4245264246,0.3253985814,-0.1796294728,-0.1378330832,0.0489401959,-0.0320481133,-0.0080027082,-0.155009737,1.0102337981
iter28,0.2437094246,-0.0875322529,0.0161793657,0.6224427578,0.3932935544,2.456318713,4.6568093789,1.4499255845,2.7346729187,1.0123095138,0.561252241,0.5688765035,0.1826856919,0.7318863096,1.219614273,2.1782187566,1.5089779166,0.0968669217,-0.0531615715,-1.1405282013,0.4327792933,0.3475510472,0.3792386462,0.2637131803,-0.6391348141
iter29,-0.4697689343,-0.5825070207,-0.5776509059,-1.6612613311,-1.4919292507,-0.0802747535,0.8271719859,1.5851921519,0.1685972347,0.8644144779,0.2634787207,0.1810686064,-0.1270988354,0.0776544166,-0.6304954838,-1.2166275995,-0.8824616634,-0.0762631235,-0.1201151663,0.5515198105,0.0540580505,-0.0269183949,-0.1806914203,-0.155009737,1.2277329558
iter30,0.6599051339,0.3108620723,0.382585278,-0.1446028904,1.2012461851,-0.0802747535,-0.8482943735,-3.1491377087,-0.4041875161,-1.5758536143,0.3340040282,0.402673119,-0.0211199182,0.265993901,-0.4662845587,-1.1999861957,-2.7142026182,0.7893871025,0.7279637009,-2.2998944316,0.4430150025,0.3424213288,0.3897046287,0.2688195573,-1.9622546898
iter31,-0.9216385616,-0.6670149078,-0.198610307,-1.2428727958,-0.7046933541,-3.6829727204,-6.4132362101,-3.554937411,-3.1535543204,-5.9387571731,-2.8866516775,-2.7472767392,-2.564613932,-2.0039925156,-2.4477630557,-3.1803132368,-3.8335998685,-2.2023000783,-1.8981050721,-1.7358784277,-1.8856088549,-1.9762113812,-2.0227043493,-1.942241701,-2.3247532858
iter32,1.2187965151,1.1800860546,1.4312642683,0.6050099021,-0.7461268223,-0.7419947882,-0.1302373623,-6.5308018948,-0.5187444663,-1.6498011323,1.2116522983,1.328663404,0.8593203174,1.3563803893,1.142982508,0.4475127712,-0.4245264246,0.4916034247,0.8693101788,-2.0805548745,0.6016684961,0.5117020355,0.4158695851,0.35052159,0.1039873079
iter33,-0.006008001,-0.1358224742,-0.097532814,-1.1731413732,-0.1453415328,-0.3743725467,-1.2073228791,-8.8303335414,-2.4662126193,-7.7134976038,-0.4417743535,-0.5074882722,-0.5999278508,-1.2704597871,-2.1083938103,-1.7990767292,-4.4950618799,-1.2950986415,-1.8757872072,-3.4905948843,-0.6214987609,-0.7143006585,-0.6935245653,-0.8699025226,-1.1466328486
iter34,2.586296703,2.4235592516,2.1767107795,1.337189839,0.5175939591,-0.8890436848,0.5279815646,3.2083909613,-1.4122886777,1.0862570317,1.2665053152,1.5027812353,1.4218238012,-0.140422881,-0.2363892634,-2.0320563811,-0.780698277,1.0386943675,0.3857564387,-0.8898544218,1.1236896685,1.0195441556,0.9182367475,1.0756271296,2.0614797267
iter35,0.0891224468,0.1539188533,-0.3502265466,-0.7024542709,-0.4560925446,-3.7564971687,-4.797607935,-5.4486693552,-1.1831747773,-6.160599727,-1.0294852487,-1.0852428944,-1.0727568662,-1.042469885,-0.8822855691,-2.3316016478,-3.9353632548,-0.4571492228,-0.0531615715,-2.0805548745,0.074529469,-0.0730858604,-0.0969635599,-0.2009671304,-1.4728815851
iter36,0.4101877083,0.0331933002,-0.2870531134,-1.9924855883,-2.5484826909,-4.6387905484,-9.105950002,-10.9945986205,-2.0996303788,-9.7100805884,0.357512464,0.4105875659,0.1174678967,-1.3398480182,-1.9222880951,-2.43145007,-7.2426733123,-0.7549329006,-1.5038227917,-3.6472659965,0.4839578396,0.4347562597,0.510063428,0.4015853604,-0.8747589015
iter37,1.0642095373,0.8541270612,0.622644324,-0.3363643025,0.0825425426,0.765256402,0.7673339017,1.4499255845,0.6955592056,1.7517846932,1.3291944774,1.3049200633,1.2995404352,-0.0512094411,-0.4772319537,-0.617537066,0.2369355869,0.8378635151,0.6163743763,0.5828540329,1.159514651,1.0349333108,0.7978779482,0.9837123429,1.2096080259
iter38,-0.1130297549,-0.2565480273,-0.3881306065,-0.0923043235,-1.3469121119,-3.7564971687,-5.5755030304,-6.9366015972,-2.260010109,-3.2766465271,0.9060426328,0.9566844006,1.2587793132,-0.3981505964,-0.5319689287,-1.2831932143,-2.4597941523,0.9071155332,0.1179420596,1.7108860408,0.7040255887,0.6707233054,0.4943644542,0.5292447864,1.3727323942
iter39,1.242579127,1.155940944,1.8482089271,1.4940855398,1.014795578,3.0077520753,0.5878196489,-1.5259388993,-1.9163392585,-2.9808564553,-0.0578032353,0.1177530313,0.0440978771,0.9400510028,0.2452961171,-0.2680675882,-3.4774280161,0.3600245904,0.3039242673,-3.1772526599,0.3406579099,0.2449566795,0.1175890824,0.1156282461,-3.3034994953
iter40,-0.4578776283,-0.8843209034,-1.2346546107,-0.8070514048,0.165409479,-0.5214214433,-0.0105611938,-4.3665368157,-1.1373519973,-3.6463841168,-0.9824683771,-0.8794672755,-0.8037334609,-1.5480127114,-1.3311287645,-1.299834618,-2.1545039931,-1.4197522741,-1.6898049994,-3.8352713312,-1.2612305898,-1.3914234853,-1.4941722305,-1.4775613904,-3.1947499164
iter41,3.2522098379,3.0996223489,3.8571241013,3.0630425475,3.210769395,3.9635699033,4.7166474631,10.106985901,4.7050524617,5.7449506623,2.3322210718,2.2863114765,2.4816129737,3.9733079612,4.5695171465,5.2568784423,6.0883303038,2.7630696175,3.2424431493,4.9383109521,1.5075287659,1.4401810632,1.4624678402,1.3309459816,2.2608539546
iter42,-0.4816602403,-0.401418691,-1.0704036845,1.3197569834,0.5383106932,0.6182075054,1.2460385758,-2.8786045738,0.0998630646,1.0123095138,-0.4104297724,-0.4046004627,-0.0700332646,-1.5083622936,-0.6414428788,0.1313261008,3.747772417,-0.6164288644,-0.6557439245,2.8389180486,-0.6522058887,-0.7758572791,-0.7301555042,-0.8545833915,1.6083564816
iter43,0.0653398349,0.0452658555,0.382585278,-0.4758271476,-0.9118606953,2.456318713,1.30587666,-3.4196708436,0.1685972347,-0.0229557375,-0.0264586542,-0.0801081407,-0.0211199182,0.2164308788,0.3985596472,-1.0834963698,0.28781728,-0.0070111054,-0.2317044909,-0.6391806423,0.5095471127,0.4604048517,0.3792386462,0.3300960818,-0.548510165
iter44,-1.1713559872,-1.3672231158,-1.6515992695,-1.6612613311,-1.9476974014,-0.4111347708,-0.967970542,1.5851921519,-0.8853267069,1.2341520676,-1.3664394953,-1.3543340883,-1.2928669251,-1.1713337427,-1.1231282593,-1.4496072513,-0.0174728791,-1.2396970271,-1.920422937,-1.6105415379,-0.6982665804,-0.7553384056,-1.0075040418,-0.8341578833,-0.9472586207
iter45,-0.5292254642,-0.4979991335,-0.2870531134,-1.6612613311,0.3104266179,1.7945986783,2.2632860083,3.8847237985,1.1996097863,1.6778371753,-0.6220056947,-0.7053494442,-0.6162322996,-0.1106850677,-0.2363892634,-0.6341784697,0.2369355869,-1.170445009,-0.8640439972,-2.5505682111,-1.2151698982,-1.3042182728,-1.1697267714,-1.3907529807,-1.7628804619
iter46,-0.3627471805,-0.4859265782,-1.1083077444,-1.330037074,-1.9476974014,-1.8448615128,-3.4213319969,-4.2312702482,-1.3435545076,0.1249392984,-0.136164688,-0.190910397,0.0522501015,-0.5964026852,0.2562435121,-1.0335721587,-2.0527406068,0.0553157109,-0.425125987,-2.895244658,-0.6624415979,-0.7758572791,-0.8923782338,-0.8647961456,-1.9622546898
iter47,1.6944487543,1.5784803799,1.9619211068,2.1565340542,1.3255465899,-1.7713370645,-1.6261894689,-3.6902039784,1.7953059273,-1.7976961682,0.475054643,0.6559354192,0.427252424,1.802447589,1.3290882232,0.514078386,-3.0703744706,-0.0762631235,0.1923349427,0.6455224778,0.2945972182,0.2193080876,0.1071230998,0.1717983936,-0.1316367796
iter48,2.8003402106,2.906461464,3.0106000971,1.7555783744,2.1542159547,1.6107875575,1.30587666,4.2905235009,0.1915086248,0.642571924,1.2586691699,1.1782889133,1.0957348251,1.2275165316,1.5480361234,1.1797345343,1.0001609847,0.58855625,0.8618708905,1.5228807061,1.3181681446,1.1734357072,1.2426822066,1.1573291623,1.9346052181
iter49,0.2437094246,-0.0150969211,-0.1101675006,1.5986826737,2.3199498277,2.5298431614,2.3829621768,4.2905235009,2.9637868191,4.1920527854,-0.3242321745,-0.2700548658,-0.1760121818,0.3750325498,0.7488762876,2.8105920975,6.8515557017,0.3184733796,-0.1052365897,4.5309660604,0.2229472534,0.0602868176,-0.060332621,-0.0018184258,1.481481973
