"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"namemodel","NW1","SW1","NE1","SE3","NW1","SW1","NE1","SE3","NW1","SW1","NE1","SE3"
"iter17","3.01417467413766","1.19246473342209","2.47910336316198","1.91705954418305","2.09473362920604","1.14108495950309","2.32742546528862","1.84722942459127","2.18667773369919","1.42367371605746","2.42394776393529","1.88214448438718"
"iter18","1.54306900224706","-1.50497339732412","1.40356917824181","1.14892822867362","1.98440070381425","-0.246168936309236","1.33462467920848","1.0616405791839","2.11312245010467","-0.11771950151179","1.18294678133513","0.852150220408619"
"iter19","-0.810700072777854","-1.01686554509385","-1.13358838618523","-1.22529583744643","-1.27042059524365","-1.22238464076977","-0.926754889085206","-1.01580547867114","-1.14169884895323","-1.11962509293182","-1.02327718773188","-1.03326300856908"
"iter20","1.17529258427443","1.26953439430054","1.19673568114178","0.607744801837427","1.69017956943613","0.190559142002076","1.18294678133513","0.625202331735371","1.89245659932108","0.421768124637452","1.14158008191513","0.590287271939484"
"iter21","-1.23364295344639","-1.71049249300004","-0.36140999701177","-1.19038077765056","-1.58303055052039","-1.58204305820259","-0.264887698365095","-1.2078383075485","-1.73014111770947","-1.50497339732412","-0.223520998945094","-1.0856355982629"
"iter22","0.0903521512551296","1.50074337693594","0.438346191774997","1.63773906581599","0.292629181140094","0.832806315989247","0.355612792934995","1.55045141632627","0.163907434849667","0.652977107272827","0.245301594481647","1.48062129673451"
"iter23","0.0903521512551296","-2.53256887570363","0.176357095448299","0.101476434797119","-0.553256580197002","-2.19860034523031","0.0384680973816037","0.0141887853074197","-0.755533610081966","-2.24998011914926","0.148779295834972","0.15384902449095"
"iter24","-0.424534833906575","1.11539507254362","0.176357095448299","0.241136673980668","0.127129793052389","0.80711642902977","0.134990396028298","0.206221614184781","-0.0935360577311853","0.524527672475401","0.0522569971882771","0.0840189048991751"
"iter25","3.2164517040226","4.35232082943907","2.29984766567529","2.231295082346","3.80489397277882","5.58543540349449","2.35500326490196","2.30112520193777","3.9520045399679","5.68819495133242","2.36879216470864","2.31858273183571"
"iter26","0.899460270794946","-1.1453149798913","0.590024089648366","-0.212759103365809","1.69017956943613","0.524527672475401","0.64517968887504","-0.090556394080223","1.80051249482791","0.80711642902977","0.548657390228365","-0.212759103365809"
