namemodel,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3,NW1,SW1,NE1,SE3
iter11,-0.7187559683,-0.9911756581,-0.3338321974,-0.0730988642,0.7707385245,0.807116429,1.4035691782,2.1963800226,-1.5094752669,-0.4003082581,0.2315126947,0.5379146822,0.5684614946,0.1134894811,0.0936236966,-1.4871587859
iter12,-0.1119248786,-1.2994543016,-0.4579322957,0.415711973,1.3040143306,1.3466040552,0.56244629,1.3060459978,0.6420167782,-0.5287576929,-1.3955774825,-1.9585120932,2.5360653308,2.3998894205,2.2722698661,2.3185827318
iter13,-0.590034222,-0.8113464494,-1.0094882879,-1.295125957,0.5316838528,0.9869456377,-0.8440214902,-0.9808904189,-0.8474777146,-1.3765239625,-1.3817885827,-0.4920795817,-0.7187559683,-0.0920296146,-0.9956993881,-0.4047919322
iter14,-0.1303136995,0.4731478986,0.066045897,0.1538490245,1.8005124948,2.1943703248,0.6451796889,1.1838432885,1.3407919724,2.1943703248,0.9485354846,1.3933336472,1.0097931962,-0.6572071277,0.2728793941,0.8696077503
iter15,-0.9945882818,0.0107299333,-0.9819104883,-0.3698768724,-2.1898616402,-2.8922272931,-0.5544545943,-0.963432889,-1.6014193714,-2.0958407974,-1.2438995846,-1.469701256,-0.5348677593,0.2676288029,-1.2990551839,-0.7015699405
iter16,-1.3623646997,-2.3784295539,-1.57483318,-2.6393557592,-1.3255870579,-1.6077329452,-0.5958212937,-1.0158054787,-0.8658665355,0.4988377855,-1.216321785,-0.5095371116,-0.8842553564,2.3741995336,0.4659239914,0.6426598616
iter17,3.0141746741,1.1924647334,2.4791033632,1.9170595442,1.3591807933,0.4474580116,0.5486573902,0.4331695029,-0.5348677593,-0.2204790493,-0.4441433959,-0.2127591034,-1.0129771027,-2.9179171801,-1.9471334748,-3.5646048438
iter18,1.5430690022,-1.5049733973,1.4035691782,1.1489282287,1.4511248978,0.9355658638,0.5210795906,1.6377390658,0.4765173901,0.9869456377,-0.2373098988,0.6077448018,-1.4726976251,-1.6077329452,-1.147377286,-1.1205506581
iter19,-0.8107000728,-1.0168655451,-1.1335883862,-1.2252958374,2.2602330173,2.5026489684,1.775869473,1.096555639,0.0351856886,1.2952242813,-0.3200432976,0.9568953998,-1.4175311624,-1.8389419278,-0.6923435924,-1.7664792643
iter20,1.1752925843,1.2695343943,1.1967356811,0.6077448018,-1.9140293267,-1.1710048669,-0.8578103901,-0.8237726498,0.862682629,1.0126355247,-2.0850224728,-1.3474985467,0.3477956438,0.8841860899,-0.8578103901,-0.6666548807
iter21,-1.2336429534,-1.710492493,-0.361409997,-1.1903807777,0.3294068229,-0.7599666755,-1.8368222763,-1.9410545633,0.4765173901,2.4512691944,-0.6647657928,0.2935092637,0.7891273454,0.7043568812,0.8244353864,0.8346926905
iter22,0.0903521513,1.5007433769,0.4383461918,1.6377390658,1.1936814052,1.3466040552,2.6032034614,3.0692565174,-0.0199807741,1.2695343943,1.3897802784,1.8297718947,0.1271297931,0.0107299333,-1.2990551839,-1.5046163158
iter23,0.0903521513,-2.5325688757,0.1763570954,0.1014764348,-2.6863598044,-2.4298093279,-2.4159560682,-2.2029175117,-0.2406466249,0.3190085768,0.5900240896,0.8346926905,1.2488478679,1.3466040552,0.9071687852,1.6551965957
iter24,-0.4245348339,1.1153950725,0.1763570954,0.241136674,-0.5348677593,-0.2204790493,-0.8026547908,-0.2476741632,-0.6819783265,-0.7085869016,0.1212014962,0.0141887853,0.2374627184,1.2181546204,0.989902184,2.126549903
iter25,3.216451704,4.3523208294,2.2998476657,2.2312950823,-1.3439758788,-0.7599666755,-0.5544545943,-1.0681780684,0.5132950319,1.0640152986,0.3280349933,0.7299475111,0.4765173901,0.832806316,2.8789814576,1.4980788266
iter26,0.8994602708,-1.1453149799,0.5900240896,-0.2127591034,0.4213509274,1.6291928117,-0.6096101935,0.1363914946,-0.2774242667,1.0897051856,0.1212014962,1.1663857586,2.0763448083,2.733857951,1.0312688835,1.3933336472
iter27,1.1385149425,0.1134894811,1.2932579798,0.4331695029,-0.9761994609,-1.1966947538,-0.7061324922,-0.8761452395,0.9914043753,0.4217681246,-0.002898602,1.1314706988,0.6052391364,1.2695343943,0.5900240896,0.7997776307
iter28,0.2190738975,-0.2461689363,0.9071687852,-0.614282291,1.3224031515,0.1391793681,0.3142460935,-0.0207262745,-0.6268118638,0.2676288029,-1.4920997812,-0.4746220518,-0.4429236548,-0.1434093885,-1.3266329835,-0.9110602993
iter29,1.2488478679,-0.8627262233,1.2381023806,0.6950324513,1.7269572112,2.6310984032,0.6865463883,1.0267255194,0.3477956438,0.5502175594,0.1487792958,-0.1254714539,-0.9026441773,-0.0406498406,-0.1545764999,0.6601173915
iter30,1.5246801813,0.6015973334,1.1691578815,1.3235035277,2.2234553755,2.1686804379,1.5000914769,2.1789224927,-1.0129771027,-0.9397958842,-1.6851443785,-0.2127591034,1.1936814052,2.5797186292,1.0174799837,0.8870652802
iter31,-3.6609673121,-3.2261958236,-2.8434119622,-2.0632572725,-0.5716454011,-0.7599666755,-0.4579322957,0.8870652802,-0.8474777146,-0.4003082581,-0.7612880914,-1.1729232478,2.8118976443,2.6567882901,2.0378585693,2.2487526122
iter32,2.4625100472,2.759547838,1.6931360742,2.0567197834,-0.6635895056,-0.3232385972,0.5762351898,1.096555639,0.1822962557,0.216249029,0.7968575867,-0.614282291,0.4213509274,0.3446984638,1.4863025771,1.3409610576
iter33,1.0281820171,-0.451688032,0.4797128912,0.241136674,0.2926291811,1.0383254117,0.7554908873,0.8696077503,-0.8658665355,-0.0149599537,0.9071687852,0.9918104596,0.0719633304,0.216249029,2.065436369,1.6901116555
