Model,Distance,Mean,Standard.Error
3,1265.598,-0.154601508,0.079458996
3,1250.28,0.000740923,0.070683001
3,1234.962,0.101701148,0.076460472
3,1219.644,-0.026144608,0.072788226
3,1204.326,-0.01777041,0.069145562
3,1189.008,0.102521557,0.071652266
3,1173.69,-0.010017331,0.081271795
3,1158.372,0.123044154,0.072181481
3,1143.054,-0.001357619,0.079351543
3,1127.736,-0.057815721,0.073638867
3,1112.418,-0.031613609,0.086334646
3,1097.1,-0.026073558,0.071319426
3,1081.782,0.046239162,0.082224688
3,1066.464,-0.005624381,0.077621859
3,1051.146,-0.023399888,0.074442966
3,1035.828,-0.150582624,0.086590358
3,1020.51,0.078015149,0.087265046
3,1005.192,0.022186488,0.088219031
3,989.874,0.067055727,0.083908403
3,974.556,0.051535503,0.083330051
3,959.238,-0.014564871,0.086855824
3,943.92,0.040538521,0.085747704
3,928.602,0.062459193,0.085415696
3,913.284,0.142293298,0.091435948
3,897.966,-0.055092429,0.082754065
3,882.648,0.049295932,0.085412822
3,867.33,0.022490649,0.090498613
3,852.012,-0.025010472,0.083052401
3,836.694,0.033918279,0.092437851
3,821.376,0.06810462,0.091666744
3,806.058,-0.031862951,0.100270081
3,790.74,0.076415924,0.09613262
3,775.422,-0.060528546,0.098645829
3,760.104,-0.015522158,0.086265426
3,744.786,0.016318127,0.095612443
3,729.468,0.172530849,0.100847616
3,714.15,-0.050095921,0.102916761
3,698.832,0.069878015,0.108064622
3,683.514,-0.043112322,0.098841979
3,668.196,-0.11724568,0.091786765
3,652.878,-0.090929683,0.089162325
3,637.56,0.076014124,0.098744075
3,622.242,0.091500723,0.104788511
3,606.924,-0.021857591,0.110518206
3,591.606,-0.032411207,0.095358041
3,576.288,0.094471484,0.108440241
3,560.97,0.194692756,0.111262679
3,545.652,-0.137923439,0.110325306
3,530.334,-0.153048334,0.11809653
3,515.016,0.120163432,0.108226553
3,499.698,-0.013811178,0.109327266
3,484.38,0.215979256,0.121387391
3,469.062,-0.103056267,0.124049014
3,453.744,-0.079413999,0.100541479
3,438.426,0.180229293,0.124905957
3,423.108,0.317235573,0.131612569
3,407.79,0.15237886,0.125068854
3,392.472,-0.060981551,0.125788113
3,377.154,0.166661868,0.132395198
3,361.836,0.22204467,0.123687612
3,346.518,-0.058064727,0.137354347
3,331.2,0.359555991,0.137434938
3,315.882,-0.012914122,0.151415858
3,300.564,0.069850344,0.142093828
3,285.246,0.171326501,0.153860321
3,269.928,0.24510527,0.16722159
3,254.61,0.437369377,0.168491204
3,239.292,0.424599952,0.166338904
3,223.974,0.024712252,0.166554937
3,208.656,0.340150461,0.178610923
3,193.338,0.155646232,0.181133688
3,178.02,0.391480358,0.20289593
3,162.702,0.020668284,0.179746367
3,147.384,0.431309108,0.20916484
3,132.066,0.082524522,0.217596163
3,116.748,0.170846411,0.229567169
3,101.43,0.192832749,0.24566859
3,86.112,0.614661648,0.295620388
3,70.794,0.737019617,0.293891078
3,55.476,0.468952644,0.333043169
3,40.158,0.596511843,0.382712361
3,24.84,0.497939316,0.515816964
3,1863,154.5713563,0.646204113
4,1863,-0.010055994,0.109793933
4,1847.682,0.001177295,0.105428494
4,1832.364,0.145005375,0.104333553
4,1817.046,0.079382872,0.110439581
4,1801.728,0.077039646,0.109155991
4,1786.41,0.01357405,0.113826327
4,1771.092,-0.047896032,0.112535252
4,1755.774,0.091088637,0.107054317
4,1740.456,0.092391067,0.108548068
4,1725.138,0.077662411,0.10122302
4,1709.82,-0.011083216,0.111238796
4,1694.502,0.07727306,0.115048328
4,1679.184,0.025660305,0.101576282
4,1663.866,-0.014906743,0.113932602
4,1648.548,-0.021292291,0.1142729
4,1633.23,0.076524535,0.112693248
4,1617.912,0.114231967,0.112419602
4,1602.594,0.019393152,0.110646697
4,1587.276,0.012577068,0.115224668
4,1571.958,-0.005875916,0.116770004
4,1556.64,0.007865857,0.113815015
4,1541.322,0.112695004,0.111253735
4,1526.004,0.096417207,0.113506017
