"model","percentageerror","count"
"NW1",22.6721730675,20
"NW1",13.4260535603,20
"NW1",21.5458705887,20
"NW1",-0.6885625629,20
"NW1",35.1115763666,20
"NW1",7.3559406028,20
"NW1",5.4788517189,20
"NW1",-13.7058233726,20
"NW1",-17.0919751156,20
"NW1",-15.6562322443,20
"NW1",-2.6265674358,20
"NW1",-41.9389694475,20
"NW1",-6.4556267232,20
"NW1",3.142177125,20
"NW1",-16.0369355744,20
"NW1",1.3361242546,20
"NW1",-21.7586072509,20
"NW1",1.9838590481,20
"NW1",-13.2968544167,20
"NW1",-35.797415314,20
"NW1",36.9720215102,20
"NW1",-2.9985727541,20
"NW1",29.3273394396,20
"NW1",-28.8981817609,20
"NW1",-33.6676949348,20
"NW1",-6.1760703925,20
"NW1",8.1781395945,20
"NW1",16.3673219131,20
"NW1",-0.2627042917,20
"NW1",8.7525756813,20
"NW1",2.2615563971,20
"NW1",-10.200313503,20
"NW1",-26.1737905936,20
"NW1",24.9207641865,20
"NW1",27.4401442398,20
"NW1",8.9659213383,20
"NW1",4.6774773002,20
"NW1",-12.5391422706,20
"NW1",21.5031071174,20
"NW1",18.513933922,20
"NW1",-11.4136536045,20
"NW1",2.1922642889,20
"NW1",-26.8370332761,20
"NW1",-11.9577998023,20
"NW1",26.1662083778,20
"NW1",11.2584304969,20
"NW1",13.6020671971,20
"NW1",13.3567174493,20
"NW1",12.1332938524,20
"NW1",-47.5777831821,20
"NW1",4.4670663903,20
"NW1",-8.0650881386,20
"NW1",21.7704068748,20
"NW1",-11.0877406532,20
"NW1",14.4645451232,20
"NW1",-10.99641388,20
"NW1",1.6950780784,20
"NW1",-3.6461484553,20
"NW1",14.1755098613,20
"NW1",16.1458330069,20
"NW1",-2.072335024,20
"NW1",1.8670178248,20
"NW1",-31.7719489995,20
"NW1",0.9670734073,20
"NW1",7.6420659846,20
"NW1",-21.7285380319,20
"NW1",-12.4846965556,20
"NW1",16.8452064996,20
"NW1",-4.2099134709,20
"NW1",24.3068933305,20
"NW1",16.8764407184,20
"NW1",6.0945350082,20
"NW1",43.9920574672,20
"NW1",5.9843511662,20
"NW1",-7.3065693265,20
"NW1",35.4287153568,20
"NW1",-20.4661920112,20
"NW1",-17.4303969102,20
"NW1",-20.3123260488,20
"NW1",28.750271201,30
"NW1",31.4397394071,30
"NW1",11.5541010889,30
"NW1",11.7219913517,30
"NW1",15.7740524276,30
"NW1",9.3916183193,30
"NW1",-1.2815673747,30
"NW1",0.0367431897,30
"NW1",-17.2746014202,30
"NW1",-20.6778187873,30
"NW1",10.8146737182,30
"NW1",-13.6327913168,30
"NW1",1.8145700776,30
"NW1",-13.1238394638,30
"NW1",-10.6357585811,30
"NW1",27.2781374225,30
"NW1",-1.3114132492,30
"NW1",-16.9569956399,30
"NW1",18.6928019391,30
"NW1",1.0527803612,30
"NW1",-5.2281949955,30
"NW1",-23.1360156915,30
"NW1",0.5708380596,30
"NW1",9.9980871075,30
"NW1",49.4955034867,30
"NW1",-21.273843247,30
"NW1",-15.5488203213,30
"NW1",1.8508352334,30
"NW1",6.0958734067,30
"NW1",-11.5407565973,30
"NW1",6.8384224273,30
"NW1",14.6418686589,30
"NW1",-7.8193375289,30
"NW1",-31.3374344892,30
"NW1",-16.6139932319,30
"NW1",87.5340230023,30
"NW1",-1.4911961748,30
"NW1",-3.0241008652,30
"NW1",14.9245886946,30
"NW1",-18.9940964226,30
"NW1",23.3028155034,30
"NW1",-22.7393454095,30
"NW1",-20.9519200323,30
"NW1",-23.052038554,30
"NW1",21.2881969313,30
"NW1",1.9216993024,30
"NW1",23.1842557167,30
"NW1",47.6948217214,30
"NW1",-14.5413699001,30
"NW1",-2.8760088443,30
"NW1",1.4398013825,30
"NW1",14.7509949569,30
"NW1",-7.0511823212,30
"NW1",-1.9127741222,30
"NW1",8.9566208155,30
"NW1",-3.9223697968,30
"NW1",8.5313301597,30
"NW1",4.02870976,30
"NW1",7.3471546648,30
"NW1",-15.7283177054,30
"NW1",13.433972803,30
"NW1",-24.3154223879,30
"NW1",-22.1142499452,30
"NW1",15.2397221323,30
"NW1",22.1397006426,30
"NW1",-13.4392153219,30
"NW1",68.3552200573,30
"NW1",-20.7095800369,30
"NW1",9.3832491975,30
"NW1",3.8402752213,30
"NW1",-9.335544145,30
"NW1",4.1323599345,30
"NW1",15.0140807217,30
"NW1",4.5721277602,30
"NW1",5.0511199662,30
"NW1",-0.8901355074,30
"NW1",4.9715229296,30
"NW1",-2.7511504301,30
"NW1",-15.6748371214,30
"NW1",-29.9631068577,30
"NW1",5.0929722022,30
"NW1",15.8453456811,30
"NW1",-0.07218954,30
"NW1",-11.4146964671,30
"NW1",-5.8544978602,30
"NW1",17.7665593066,30
"NW1",-21.5539208081,30
"NW1",-22.0684847936,30
"NW1",-24.5858496327,30
"NW1",9.7911380176,30
"NW1",-27.7396516196,30
"NW1",-3.9905009001,30
"NW1",-28.5254938357,30
"NW1",-21.202772824,30
"NW1",-7.9516819268,30
"NW1",-3.5551526942,30
"NW1",-19.1889614914,30
"NW1",-11.4609967633,30
"NW1",-9.5135390097,30
"NW1",6.3889275785,30
"NW1",-15.3036819204,40
