"model","percentageerror","wait"
"SW1",-0.2204790493,"0"
"SW1",-0.6572071277,"0"
"SW1",0.9355658638,"0"
"SW1",1.4236737161,"0"
"SW1",3.5302444467,"0"
"SW1",0.164869255,"0"
"SW1",0.7043568812,"0"
"SW1",0.1391793681,"0"
"SW1",-0.9911756581,"0"
"SW1",-1.2994543016,"0"
"SW1",-0.8113464494,"0"
"SW1",0.4731478986,"0"
"SW1",0.0107299333,"0"
"SW1",-2.3784295539,"0"
"SW1",1.1924647334,"0"
"SW1",-1.5049733973,"0"
"SW1",-1.0168655451,"0"
"SW1",1.2695343943,"0"
"SW1",-1.710492493,"0"
"SW1",1.5007433769,"0"
"SW1",-2.5325688757,"0"
"SW1",1.1153950725,"0"
"SW1",4.3523208294,"0"
"SW1",-1.1453149799,"0"
"SW1",0.1134894811,"0"
"SW1",-0.2461689363,"0"
"SW1",-0.8627262233,"0"
"SW1",0.6015973334,"0"
"SW1",-3.2261958236,"0"
"SW1",2.759547838,"0"
"SW1",-0.451688032,"0"
"SW1",-1.1453149799,"0"
"SW1",-4.9987980238,"0"
"SW1",-0.8627262233,"0"
"SW1",-1.3765239625,"0"
"SW1",0.4217681246,"0"
"SW1",0.7043568812,"0"
"SW1",-2.2242902322,"0"
"SW1",2.8623073858,"0"
"SW1",-0.2204790493,"0"
"SW1",0.7300467682,"0"
"SW1",-0.8113464494,"0"
"SW1",0.3703883507,"0"
"SW1",1.3722939421,"0"
"SW1",0.6529771073,"0"
"SW1",2.2971298727,"0"
"SW1",0.0877995942,"0"
"SW1",-0.3489284841,"0"
"SW1",1.2695343943,"0"
"SW1",1.0383254117,"0"
"SW1",0.807116429,"0"
"SW1",-2.8408475192,"0"
"SW1",2.091610777,"0"
"SW1",1.0897051856,"0"
"SW1",-2.0701509104,"0"
"SW1",0.2419389159,"0"
"SW1",3.4274848989,"0"
"SW1",1.7833321335,"0"
"SW1",2.3485096466,"0"
"SW1",0.3960782377,"0"
"SW1",0.7557366551,"0"
"SW1",0.3703883507,"0"
"SW1",0.6272872203,"0"
"SW1",0.3703883507,"0"
"SW1",-1.7875621539,"0"
"SW1",1.2181546204,"0"
"SW1",0.7557366551,"0"
"SW1",0.3703883507,"0"
"SW1",0.9098759769,"0"
"SW1",1.6035029248,"0"
"SW1",-0.5030678059,"0"
"SW1",-3.1748160497,"0"
"SW1",2.5540287423,"0"
"SW1",-0.0149599537,"0"
"SW1",-1.068245319,"0"
"SW1",0.7043568812,"0"
"SW1",-1.4022138495,"0"
"SW1",-1.2994543016,"0"
"SW1",2.1943703248,"0"
"SW1",-1.4535936234,"0"
"SW1",-0.7342767885,"0"
"SW1",-2.2499801191,"0"
"SW1",-0.0663397276,"0"
"SW1",1.8860916813,"0"
"SW1",1.2695343943,"0"
"SW1",-1.9160115887,"0"
"SW1",2.091610777,"0"
"SW1",-1.8132520408,"0"
"SW1",-0.4003082581,"0"
"SW1",-0.3232385972,"0"
"SW1",2.8109276119,"0"
"SW1",1.3722939421,"0"
"SW1",3.0935163684,"0"
"SW1",0.9355658638,"0"
"SW1",-2.994986841,"0"
"SW1",-0.1690992754,"0"
"SW1",0.3190085768,"0"
"SW1",0.6529771073,"0"
"NE1",0.7279130877,"0"
"NE1",0.1901459953,"0"
"NE1",0.3556127929,"0"
"NE1",-0.5130878949,"0"
"NE1",-0.292465498,"0"
"NE1",1.0450577833,"0"
"NE1",1.0726355829,"0"
"NE1",0.0108902978,"0"
"NE1",-1.8781889757,"0"
"NE1",-1.1060105866,"0"
"NE1",-0.3338321974,"0"
"NE1",-0.4579322957,"0"
"NE1",-1.0094882879,"0"
"NE1",0.066045897,"0"
"NE1",-0.9819104883,"0"
"NE1",-1.57483318,"0"
"NE1",2.4791033632,"0"
"NE1",1.4035691782,"0"
"NE1",-1.1335883862,"0"
"NE1",1.1967356811,"0"
"NE1",-0.361409997,"0"
