"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
10,0.001,137.009090909091,0,1,10,100,8.6,2,5e+05,"150327_273.RData"
2,0.001,141.263636363636,0,1,10,100,8.2,2,5e+05,"150327_274.RData"
5,0.001,145.118181818182,0,1,10,100,9,2,5e+05,"150327_275.RData"
10,0.001,147.354545454545,0,1,10,100,7.6,2,5e+05,"150327_276.RData"
2,0.001,105.218181818182,10.6454545454545,2,10,100,8.4,2,5e+05,"150327_277.RData"
10,0.001,140.863636363636,0,1,10,100,8.4,2,5e+05,"150327_279.RData"
10,0.001,70.6272727272727,17.8818181818182,2,10,100,9,2,5e+05,"150327_27.RData"
2,0.001,146.127272727273,0,1,10,100,8.8,2,5e+05,"150327_280.RData"
5,0.001,17.0181818181818,30.0090909090909,2,10,100,8.8,2,5e+05,"150327_281.RData"
10,0.001,144.927272727273,0,1,10,100,8.6,2,5e+05,"150327_282.RData"
10,0.001,141.490909090909,0,1,10,100,8.6,2,5e+05,"150327_285.RData"
2,0.001,139.654545454545,0,1,10,100,9,2,5e+05,"150327_286.RData"
10,0.001,145.145454545455,0,1,10,100,8.8,2,5e+05,"150327_288.RData"
2,0.001,142.654545454545,0,1,10,100,9,2,5e+05,"150327_289.RData"
2,0.001,138.909090909091,0,1,10,100,8.4,2,5e+05,"150327_28.RData"
5,0.001,139.763636363636,0,1,10,100,8.8,2,5e+05,"150327_290.RData"
2,0.001,148.227272727273,0,1,10,100,9,2,5e+05,"150327_292.RData"
5,0.001,150.127272727273,0,1,10,100,8.2,2,5e+05,"150327_293.RData"
10,0.001,63.1181818181818,21.0272727272727,2,10,100,9,2,5e+05,"150327_294.RData"
2,0.001,76.6363636363636,20.0363636363636,2,10,100,9,2,5e+05,"150327_295.RData"
5,0.001,142.827272727273,0,1,10,100,9,2,5e+05,"150327_296.RData"
10,0.001,16.1,33.2545454545455,2,10,100,9,2,5e+05,"150327_297.RData"
5,0.001,141.163636363636,0,1,10,100,8.6,2,5e+05,"150327_299.RData"
5,0.001,139.645454545455,0,1,10,100,9,2,5e+05,"150327_2.RData"
10,0.001,138.845454545455,0,1,10,100,9,2,5e+05,"150327_300.RData"
2,0.001,149.118181818182,0,1,10,100,8.6,2,5e+05,"150327_301.RData"
2,0.001,141.127272727273,0,1,10,100,9,2,5e+05,"150327_304.RData"
5,0.001,62.5090909090909,21.8363636363636,2,10,100,8.8,2,5e+05,"150327_305.RData"
10,0.001,32.1909090909091,27.3181818181818,2,10,100,7.8,2,5e+05,"150327_306.RData"
2,0.001,140.818181818182,0,1,10,100,8.8,2,5e+05,"150327_307.RData"
5,0.001,140.718181818182,0,1,10,100,9,2,5e+05,"150327_308.RData"
10,0.001,143.636363636364,0,1,10,100,8.4,2,5e+05,"150327_312.RData"
2,0.001,29.1818181818182,29.5,2,10,100,8.4,2,5e+05,"150327_313.RData"
5,0.001,147.309090909091,0,1,10,100,8.8,2,5e+05,"150327_314.RData"
10,0.001,149.772727272727,0,1,10,100,7.8,2,5e+05,"150327_315.RData"
2,0.001,138.181818181818,0,1,10,100,8.6,2,5e+05,"150327_316.RData"
5,0.001,142.090909090909,0,1,10,100,9,2,5e+05,"150327_317.RData"
2,0.001,135.154545454545,0,1,10,100,8.6,2,5e+05,"150327_319.RData"
2,0.001,148.809090909091,0,1,10,100,9,2,5e+05,"150327_31.RData"
5,0.001,142.409090909091,0,1,10,100,8.8,2,5e+05,"150327_320.RData"
2,0.001,142.127272727273,0,1,10,100,8.6,2,5e+05,"150327_322.RData"
5,0.001,147.672727272727,0,1,10,100,8.8,2,5e+05,"150327_323.RData"
10,0.001,141.181818181818,0,1,10,100,9,2,5e+05,"150327_324.RData"
2,0.001,147.054545454545,0,1,10,100,8.8,2,5e+05,"150327_325.RData"
10,0.001,144.918181818182,0,1,10,100,8.4,2,5e+05,"150327_327.RData"
2,0.001,140.336363636364,0,1,10,100,8.8,2,5e+05,"150327_328.RData"
5,0.001,79.0090909090909,17.1363636363636,2,10,100,9,2,5e+05,"150327_329.RData"
5,0.001,137.5,0,1,10,100,9,2,5e+05,"150327_32.RData"
10,0.001,44.1181818181818,25.1727272727273,2,10,100,9,2,5e+05,"150327_330.RData"
2,0.001,145.872727272727,0,1,10,100,9,2,5e+05,"150327_331.RData"
5,0.001,137.681818181818,0,1,10,100,8.8,2,5e+05,"150327_332.RData"
10,0.001,90.9545454545455,14.9,2,10,100,9,2,5e+05,"150327_333.RData"
2,0.01,139.981818181818,0,1,10,100,8.8,2,5e+05,"150327_334.RData"
5,0.01,139.045454545455,0,1,10,100,9,2,5e+05,"150327_335.RData"
