"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
5,0.001,7.59090909090909,34.7454545454545,2,10,100,8.2,2,5e+05,"150527_203.RData"
10,0.001,31.4454545454545,30.9,2,10,100,9,2,5e+05,"150527_204.RData"
2,0.001,16.6636363636364,31.5818181818182,2,10,100,8.4,2,5e+05,"150527_205.RData"
5,0.001,8.1,34.9363636363636,2,10,100,9,2,5e+05,"150527_206.RData"
10,0.001,18.0363636363636,32.6272727272727,2,10,100,9,2,5e+05,"150527_207.RData"
2,0.001,16.8,33.1818181818182,2,10,100,8.4,2,5e+05,"150527_208.RData"
5,0.001,7.45454545454546,35.3181818181818,2,10,100,9,2,5e+05,"150527_209.RData"
5,0.001,21.0181818181818,31.9,2,10,100,8.6,2,5e+05,"150527_20.RData"
10,0.001,3.64545454545455,35.8636363636364,2,10,100,8.8,2,5e+05,"150527_210.RData"
2,0.001,17.1818181818182,34.1727272727273,2,10,100,9,2,5e+05,"150527_211.RData"
5,0.001,7.84545454545455,35.5090909090909,2,10,100,9,2,5e+05,"150527_212.RData"
10,0.001,3.93636363636364,37.3363636363636,2,10,100,9,2,5e+05,"150527_213.RData"
2,0.001,16.9636363636364,33.3,2,10,100,8.4,2,5e+05,"150527_214.RData"
5,0.001,7.45454545454546,33.5090909090909,2,10,100,9,2,5e+05,"150527_215.RData"
10,0.001,47.5727272727273,23.3636363636364,2,10,100,8.8,2,5e+05,"150527_216.RData"
2,0.001,16.8909090909091,33.8090909090909,2,10,100,8.8,2,5e+05,"150527_217.RData"
5,0.001,34.5454545454545,27,2,10,100,7.6,2,5e+05,"150527_218.RData"
10,0.001,3.87272727272727,36.5363636363636,2,10,100,8.8,2,5e+05,"150527_219.RData"
10,0.001,14.6636363636364,33.5363636363636,2,10,100,8.8,2,5e+05,"150527_21.RData"
2,0.001,16.6909090909091,32.3272727272727,2,10,100,9,2,5e+05,"150527_220.RData"
5,0.001,21.1090909090909,30.4636363636364,2,10,100,9,2,5e+05,"150527_221.RData"
10,0.001,17.0272727272727,33.1454545454545,2,10,100,9,2,5e+05,"150527_222.RData"
2,0.001,16.4,34.8090909090909,2,10,100,9,2,5e+05,"150527_223.RData"
5,0.001,13.7,34.3909090909091,2,10,100,9,2,5e+05,"150527_224.RData"
10,0.001,17.9818181818182,32.6090909090909,2,10,100,8.8,2,5e+05,"150527_225.RData"
2,0.001,16.1181818181818,33.3909090909091,2,10,100,8.6,2,5e+05,"150527_226.RData"
5,0.001,7.3,37.0727272727273,2,10,100,8.4,2,5e+05,"150527_227.RData"
10,0.001,19.1818181818182,33.2727272727273,2,10,100,8.6,2,5e+05,"150527_228.RData"
2,0.001,16.2636363636364,32.5545454545455,2,10,100,8.2,2,5e+05,"150527_229.RData"
2,0.001,31.5454545454545,28.6909090909091,2,10,100,8.2,2,5e+05,"150527_22.RData"
5,0.001,7.21818181818182,34.6454545454545,2,10,100,8.8,2,5e+05,"150527_230.RData"
10,0.001,3.9,34.5272727272727,2,10,100,8.6,2,5e+05,"150527_231.RData"
2,0.001,16.5363636363636,31.5545454545455,2,10,100,9,2,5e+05,"150527_232.RData"
5,0.001,19.1818181818182,29.1636363636364,2,10,100,9,2,5e+05,"150527_233.RData"
10,0.001,17.9,33.0909090909091,2,10,100,9,2,5e+05,"150527_234.RData"
2,0.001,15.7272727272727,36.4363636363636,2,10,100,9,2,5e+05,"150527_235.RData"
5,0.001,12.2909090909091,35.1,2,10,100,7.8,2,5e+05,"150527_236.RData"
10,0.001,17.2818181818182,31.9454545454545,2,10,100,9,2,5e+05,"150527_237.RData"
